,MLBID,FIRSTNAME,LASTNAME,ACTIVE,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS,salary
343,657041,Lane,Thomas,Y,Lane Thomas,WAS,OF,26,45,178,33,48,14,2,7,27,27,46,0.27,0.364,0.489,0.853,"$570,500"
344,650402,Gleyber,Torres,Y,Gleyber Torres,NYY,SS,24,127,459,50,119,22,0,9,51,50,104,0.259,0.331,0.366,0.697,"$4,000,000"
345,620443,Luis,Torrens,Y,Luis Torrens,SEA,C,25,108,346,39,84,16,2,15,47,28,99,0.243,0.299,0.431,0.73,"$580,700"
346,591720,Ronald,Torreyes,Y,Ronald Torreyes,PHI,SS,29,112,318,30,77,10,1,7,41,19,41,0.242,0.286,0.346,0.632,"$800,000"
347,624431,Jose,Trevino,Y,Jose Trevino,TEX,C,28,89,285,23,68,14,0,5,30,12,57,0.239,0.267,0.34,0.607,"$584,000"
348,545361,Mike,Trout,Y,Mike Trout,LAA,OF,30,36,117,23,39,8,1,8,18,27,41,0.333,0.466,0.624,1.09,"$37,166,667"
349,657061,Cole,Tucker,Y,Cole Tucker,PIT,OF,25,43,117,15,26,4,2,2,12,13,33,0.222,0.298,0.342,0.64,"$570,500"
350,663656,Kyle,Tucker,Y,Kyle Tucker,HOU,OF,24,140,506,83,149,37,3,30,92,53,90,0.294,0.359,0.557,0.916,"$624,300"
351,457759,Justin,Turner,Y,Justin Turner,LAD,3B,36,151,533,87,148,22,0,27,87,61,98,0.278,0.361,0.471,0.832,"$12,000,000"
352,607208,Trea,Turner,Y,Trea Turner,LAD,SS,28,52,207,41,70,17,0,10,28,15,33,0.338,0.385,0.565,0.95,"$13,000,000"
353,457708,Justin,Upton,Y,Justin Upton,LAA,OF,34,90,318,47,67,12,0,17,41,39,107,0.211,0.296,0.409,0.705,"$23,000,000"
354,649966,Luis,Urias,Y,Luis Urias,MIL,SS,24,150,490,77,122,25,1,23,75,63,116,0.249,0.345,0.445,0.79,"$575,100"
355,642162,Pat,Valaika,Y,Pat Valaika,BAL,2B,29,91,259,17,52,8,0,5,25,16,76,0.201,0.25,0.29,0.54,"$875,000"
356,591971,Breyvic,Valera,Y,Breyvic Valera,TOR,2B,29,39,87,10,22,6,0,1,15,8,12,0.253,0.313,0.356,0.669,"$570,500"
357,642165,Josh,VanMeter,Y,Josh VanMeter,ARI,2B,26,112,274,26,58,17,2,6,36,33,83,0.212,0.297,0.354,0.651,"$583,400"
358,662139,Daulton,Varsho,Y,Daulton Varsho,ARI,C,25,95,284,41,70,17,2,11,38,30,67,0.246,0.318,0.437,0.755,"$570,500"
359,683734,Andrew,Vaughn,Y,Andrew Vaughn,CWS,1B,23,127,417,56,98,22,0,15,48,41,101,0.235,0.309,0.396,0.705,"$570,500"
360,543877,Christian,Vazquez,Y,Christian Vazquez,BOS,C,31,138,458,51,118,23,1,6,49,33,84,0.258,0.308,0.352,0.66,"$6,250,000"
361,623205,Andrew,Velazquez,Y,Andrew Velazquez,NYY,SS,27,28,67,11,15,4,1,1,6,1,23,0.224,0.235,0.358,0.593,"$570,500"
362,657077,Alex,Verdugo,Y,Alex Verdugo,BOS,OF,25,146,544,88,157,32,2,13,63,51,96,0.289,0.351,0.426,0.777,"$649,500"
363,542340,Jonathan,Villar,Y,Jonathan Villar,NYM,2B,30,142,454,63,113,18,2,18,42,46,132,0.249,0.322,0.416,0.738,"$3,550,000"
364,519390,Stephen,Vogt,Y,Stephen Vogt,ATL,C,36,26,78,7,13,0,0,2,8,8,20,0.167,0.241,0.244,0.485,"$3,500,000"
365,572228,Luke,Voit,Y,Luke Voit,NYY,1B,30,68,213,26,51,7,1,11,35,21,74,0.239,0.328,0.437,0.765,"$4,700,000"
366,458015,Joey,Votto,Y,Joey Votto,CIN,1B,38,129,448,73,119,23,1,36,99,77,127,0.266,0.375,0.563,0.938,"$25,000,000"
367,664774,LaMonte,Wade,Y,LaMonte Wade,SF,OF,27,109,336,52,85,17,3,18,56,33,89,0.253,0.326,0.482,0.808,"$570,500"
368,642180,Tyler,Wade,Y,Tyler Wade,NYY,2B,26,103,127,31,34,5,1,0,5,16,37,0.268,0.354,0.323,0.677,"$603,000"
369,572233,Christian,Walker,Y,Christian Walker,ARI,1B,30,115,401,55,98,23,1,10,46,38,106,0.244,0.315,0.382,0.697,"$619,300"
370,665120,Jared,Walsh,Y,Jared Walsh,LAA,1B,28,144,530,70,147,34,1,29,98,48,152,0.277,0.34,0.509,0.849,"$590,500"
371,621493,Taylor,Ward,Y,Taylor Ward,LAA,OF,27,65,208,33,52,15,0,8,33,20,55,0.25,0.332,0.438,0.77,"$590,500"
372,657108,Evan,White,Y,Evan White,SEA,1B,25,30,97,8,14,3,0,2,9,6,31,0.144,0.202,0.237,0.439,"$1,300,000"
373,642211,Justin,Williams,Y,Justin Williams,STL,OF,26,51,119,10,19,0,0,4,11,17,46,0.16,0.27,0.261,0.531,"$125,000"
374,608385,Jesse,Winker,Y,Jesse Winker,CIN,OF,28,110,423,77,129,32,1,24,71,53,75,0.305,0.394,0.556,0.95,"$3,150,000"
375,621550,Patrick,Wisdom,Y,Patrick Wisdom,CHC,1B,30,106,338,54,78,13,0,28,61,32,153,0.231,0.305,0.518,0.823,"$570,500"
376,543939,Kolten,Wong,Y,Kolten Wong,MIL,2B,31,116,445,70,121,32,2,14,50,31,83,0.272,0.335,0.447,0.782,"$7,500,000"
377,642851,Austin,Wynns,Y,Austin Wynns,BAL,C,30,45,130,14,24,4,0,4,14,8,31,0.185,0.232,0.308,0.54,"$570,500"
378,573262,Mike,Yastrzemski,Y,Mike Yastrzemski,SF,OF,31,139,468,75,105,28,3,25,71,51,131,0.224,0.311,0.457,0.768,"$600,000"
379,592885,Christian,Yelich,Y,Christian Yelich,MIL,OF,29,117,399,70,99,19,2,9,51,70,113,0.248,0.362,0.373,0.735,"$14,000,000"
380,605548,Bradley,Zimmer,Y,Bradley Zimmer,CLE,OF,28,99,299,44,68,9,1,8,35,30,122,0.227,0.325,0.344,0.669,"$576,700"
381,475582,Ryan,Zimmerman,Y,Ryan Zimmerman,WAS,1B,37,110,255,27,62,16,0,14,46,16,77,0.243,0.286,0.471,0.757,"$1,000,000"
382,572287,Mike,Zunino,Y,Mike Zunino,TB,C,30,109,333,64,72,11,2,33,62,34,132,0.216,0.301,0.559,0.86,"$2,000,000"
383,628450,Yadiel,Hernandez,Y,Yadiel Hernandez,WAS,OF,34,112,264,33,72,8,1,9,32,22,59,0.273,0.329,0.413,0.742,"$572,600"
384,650559,Bryan,De La Cruz,Y,Bryan De La Cruz,MIA,OF,24,58,199,17,59,7,2,5,19,18,53,0.296,0.356,0.427,0.783,"$570,500"
385,628451,Andy,Ibanez,Y,Andy Ibanez,TEX,2B,28,76,253,31,70,15,2,7,25,15,35,0.277,0.321,0.435,0.756,"$570,500"
386,602104,Ramon,Urias,Y,Ramon Urias,BAL,2B,27,85,262,33,73,14,0,7,38,28,76,0.279,0.361,0.412,0.773,"$571,500"
387,660634,Yonny,Hernandez,Y,Yonny Hernandez,TEX,2B,23,43,143,15,31,5,0,0,6,17,32,0.217,0.315,0.252,0.567,"$570,500"
388,676694,Jake,Meyers,Y,Jake Meyers,HOU,OF,25,49,146,22,38,8,0,6,28,10,50,0.26,0.323,0.438,0.761,"$570,500"
389,656537,Derek,Hill,Y,Derek Hill,DET,OF,25,49,139,19,36,3,3,3,14,10,42,0.259,0.313,0.388,0.701,"$570,500"
390,657757,Gavin,Sheets,Y,Gavin Sheets,CWS,OF,25,54,160,23,40,8,0,11,34,16,40,0.25,0.324,0.506,0.83,"$570,500"
391,642201,Eli,White,Y,Eli White,TEX,OF,27,64,198,26,35,6,1,6,15,18,66,0.177,0.259,0.308,0.567,"$572,500"
392,643524,Frank,Schwindel,Y,Frank Schwindel,CHC,1B,29,56,222,42,76,19,1,13,40,16,36,0.342,0.389,0.613,1.002,"$570,500"
