,MLBID,FIRSTNAME,LASTNAME,Player,Team,Age,W,L,ERA,IP,H,ER,HR,BB,K,WHIP,salary
245,607644,John,Means,John Means,BAL,28,6,9,3.62,146.2,125,59,30,26,134,1.03,"$593,500"
246,453343,Mark,Melancon,Mark Melancon,SD,36,4,3,2.23,64.2,54,16,4,25,59,1.22,"$4,000,000"
247,657240,Julian,Merryweather,Julian Merryweather,TOR,30,0,1,4.85,13.0,13,7,4,4,12,1.31,"$578,400"
248,571945,Miles,Mikolas,Miles Mikolas,STL,33,2,3,4.23,44.2,43,21,6,11,31,1.21,"$16,750,000"
249,489119,Wade,Miley,Wade Miley,CIN,34,12,7,3.37,163.0,166,61,17,50,125,1.33,"$8,150,000"
250,453192,Andrew,Miller,Andrew Miller,STL,36,0,0,4.75,36.0,41,19,5,16,40,1.58,"$12,000,000"
251,502522,Justin,Miller,Justin Miller,STL,34,1,0,4.5,16.0,15,8,2,5,9,1.25,"$570,500"
252,571946,Shelby,Miller,Shelby Miller,PIT,31,0,1,5.06,10.2,9,6,3,6,7,1.41,"$570,500"
253,621219,Alec,Mills,Alec Mills,CHC,29,6,7,5.07,119.0,137,67,16,34,87,1.44,"$600,000"
254,573668,Juan,Minaya,Juan Minaya,MIN,31,2,1,2.48,40.0,27,11,4,20,43,1.18,"$570,500"
255,501985,Mike,Minor,Mike Minor,KC,33,8,12,5.05,158.2,156,89,26,41,149,1.24,"$7,000,000"
256,621345,A.J.,Minter,A.J. Minter,ATL,28,3,6,3.78,52.1,44,22,2,20,57,1.22,"$1,300,000"
257,663554,Casey,Mize,Casey Mize,DET,24,7,9,3.71,150.1,130,62,24,41,118,1.14,"$574,100"
258,593423,Frankie,Montas,Frankie Montas,OAK,28,13,9,3.37,187.0,164,70,20,57,207,1.18,"$1,800,000"
259,606160,Rafael,Montero,Rafael Montero,SEA,31,5,3,7.27,43.1,56,35,4,15,37,1.64,"$2,250,000"
260,656756,Jordan,Montgomery,Jordan Montgomery,NYY,28,6,7,3.83,157.1,150,67,19,51,162,1.28,"$2,130,000"
261,519043,Matt,Moore,Matt Moore,PHI,32,2,4,6.29,73.0,78,51,15,38,63,1.59,"$3,000,000"
262,605388,Adam,Morgan,Adam Morgan,CHC,31,2,1,4.26,25.1,22,12,6,12,28,1.34,"$900,000"
263,450203,Charlie,Morton,Charlie Morton,ATL,37,14,6,3.34,185.2,136,69,16,58,216,1.04,"$15,000,000"
264,605397,Joe,Musgrove,Joe Musgrove,SD,28,11,9,3.18,181.1,142,64,22,54,203,1.08,"$4,450,000"
265,519076,Jimmy,Nelson,Jimmy Nelson,LAD,32,1,2,1.86,29.0,14,6,0,13,44,0.93,"$1,250,000"
266,593576,Hector,Neris,Hector Neris,PHI,32,4,7,3.63,74.1,55,30,12,32,98,1.17,"$5,020,000"
267,605400,Aaron,Nola,Aaron Nola,PHI,28,9,9,4.63,180.2,165,93,26,39,223,1.13,"$12,250,000"
268,543594,Sean,Nolin,Sean Nolin,WAS,31,0,2,4.39,26.2,32,13,4,13,20,1.69,"$570,500"
269,596057,Daniel,Norris,Daniel Norris,MIL,28,1,0,6.64,20.1,17,15,5,15,18,1.57,"$3,475,000"
270,641927,Bailey,Ober,Bailey Ober,MIN,26,3,3,4.19,92.1,92,43,20,19,96,1.2,"$570,500"
271,503285,Darren,O'Day,Darren O'Day,NYY,38,0,0,3.38,10.2,9,4,2,4,11,1.22,"$1,750,000"
272,543606,Jake,Odorizzi,Jake Odorizzi,HOU,31,6,7,4.21,104.2,97,49,16,34,91,1.25,"$9,000,000"
273,595345,Steven,Okert,Steven Okert,MIA,30,3,1,2.75,36.0,22,11,5,15,40,1.03,"$570,500"
274,621261,Corey,Oswalt,Corey Oswalt,NYM,28,1,1,3.48,10.1,12,4,1,2,10,1.35,"$570,500"
275,493603,Adam,Ottavino,Adam Ottavino,BOS,35,7,3,4.21,62.0,55,29,5,35,71,1.45,"$7,225,044"
276,663978,Chris,Paddack,Chris Paddack,SD,25,7,7,5.07,108.1,115,61,15,22,99,1.26,"$610,900"
277,641941,Emilio,Pagan,Emilio Pagan,SD,30,4,3,4.83,63.1,56,34,16,18,69,1.17,"$1,570,000"
278,453284,Blake,Parker,Blake Parker,CLE,36,2,1,3.09,43.2,43,15,5,14,37,1.31,"$2,500,000"
279,672715,Luis,Patino,Luis Patino,TB,21,5,3,4.31,77.1,69,37,12,29,74,1.27,"$570,500"
280,663878,Nate,Pearson,Nate Pearson,TOR,25,1,1,4.2,15.0,14,7,2,12,20,1.73,"$577,500"
281,642547,Freddy,Peralta,Freddy Peralta,MIL,25,10,5,2.81,144.1,84,45,14,56,195,0.97,"$1,334,960"
282,593974,Wandy,Peralta,Wandy Peralta,NYY,30,3,3,2.95,42.2,38,14,5,18,35,1.31,"$925,000"
283,503449,Wily,Peralta,Wily Peralta,DET,32,4,5,3.07,93.2,87,32,12,38,58,1.33,"$1,500,000"
284,527048,Martin,Perez,Martin Perez,BOS,30,7,8,4.74,114.0,136,60,19,36,97,1.51,"$4,500,000"
285,656849,David,Peterson,David Peterson,NYM,26,2,6,5.54,66.2,64,41,11,29,69,1.4,"$585,750"
286,596071,Dillon,Peters,Dillon Peters,PIT,29,1,2,3.71,26.2,26,11,2,10,23,1.35,"$570,500"
287,433589,Yusmeiro,Petit,Yusmeiro Petit,OAK,36,8,3,3.92,78.0,69,34,12,12,37,1.04,"$3,000,000"
288,475479,David,Phelps,David Phelps,TOR,35,0,0,0.87,10.1,8,1,0,4,15,1.16,"$1,750,000"
289,501381,Michael,Pineda,Michael Pineda,MIN,32,9,8,3.62,109.1,114,44,17,21,88,1.23,"$10,000,000"
290,601713,Nick,Pivetta,Nick Pivetta,BOS,28,9,8,4.53,155.0,137,78,24,65,175,1.3,"$613,500"
291,668676,Zach,Plesac,Zach Plesac,CLE,26,10,6,4.67,142.2,137,74,23,34,100,1.2,"$590,200"
292,519141,Drew,Pomeranz,Drew Pomeranz,SD,32,1,0,1.75,25.2,19,5,2,10,30,1.13,"$8,000,000"
293,547001,Cody,Poteet,Cody Poteet,MIA,27,2,3,4.99,30.2,25,17,7,16,32,1.34,"$570,500"
294,519151,Ryan,Pressly,Ryan Pressly,HOU,32,5,3,2.25,64.0,49,16,4,13,81,0.97,"$8,750,000"
295,456034,David,Price,David Price,LAD,36,5,2,4.03,73.2,79,33,8,26,58,1.43,"$32,000,000"
296,615698,Cal,Quantrill,Cal Quantrill,CLE,26,8,3,2.89,149.2,129,48,16,47,121,1.18,"$586,200"
297,663432,Tanner,Rainey,Tanner Rainey,WAS,28,1,3,7.39,31.2,29,26,6,25,42,1.71,"$589,000"
298,598287,Noe,Ramirez,Noe Ramirez,ARI,31,0,2,2.76,32.2,18,10,2,11,29,0.89,"$570,500"
299,670990,Yohan,Ramirez,Yohan Ramirez,SEA,26,1,3,3.9,27.2,18,12,6,12,35,1.08,"$570,500"
300,656876,Drew,Rasmussen,Drew Rasmussen,MIL,26,0,1,4.24,17.0,13,8,2,12,25,1.47,"$573,000"
301,592662,Robbie,Ray,Robbie Ray,TOR,30,13,7,2.84,193.1,150,61,33,52,248,1.04,"$8,000,000"
302,572070,Garrett,Richards,Garrett Richards,BOS,33,7,8,4.87,136.2,158,74,19,60,115,1.6,"$9,500,000"
303,670950,Trevor,Richards,Trevor Richards,TB,28,0,0,4.5,12.0,9,6,2,3,16,1.0,"$580,900"
304,502085,David,Robertson,David Robertson,TB,36,0,0,4.5,12.0,11,6,2,4,16,1.25,"$570,500"
305,570663,Hansel,Robles,Hansel Robles,BOS,31,0,1,3.6,25.0,21,10,2,13,33,1.36,"$2,075,000"
306,593144,Richard,Rodriguez,Richard Rodriguez,ATL,31,1,2,3.12,26.0,23,9,6,5,9,1.08,"$1,700,000"
307,607074,Carlos,Rodon,Carlos Rodon,CWS,28,13,5,2.37,132.2,91,35,13,36,185,0.96,"$3,000,000"
308,593958,Eduardo,Rodriguez,Eduardo Rodriguez,BOS,28,13,8,4.74,157.2,172,83,19,47,185,1.39,"$8,300,000"
309,570257,Joely,Rodriguez,Joely Rodriguez,NYY,29,1,0,2.84,19.0,21,6,1,6,17,1.42,"$2,500,000"
310,573124,Taylor,Rogers,Taylor Rogers,MIN,30,2,4,3.35,40.1,38,15,4,8,59,1.14,"$6,000,000"
311,669432,Trevor,Rogers,Trevor Rogers,MIA,23,7,8,2.64,133.0,107,39,6,46,157,1.15,"$570,500"
312,643511,Tyler,Rogers,Tyler Rogers,SF,30,7,1,2.22,81.0,74,20,5,13,55,1.07,"$583,000"
313,605447,Jordan,Romano,Jordan Romano,TOR,28,7,1,2.14,63.0,41,15,7,25,85,1.05,"$584,000"
314,489265,Sergio,Romo,Sergio Romo,OAK,38,1,1,4.67,61.2,56,32,9,21,60,1.25,"$2,500,000"
315,605452,Joe,Ross,Joe Ross,WAS,28,5,9,4.17,108.0,98,50,17,34,109,1.22,"$1,500,000"
316,614179,Jose,Ruiz,Jose Ruiz,CWS,26,1,3,3.05,65.0,51,22,8,25,63,1.17,"$575,000"
317,657746,Joe,Ryan,Joe Ryan,MIN,25,2,1,4.05,26.2,16,12,4,5,30,0.79,"$570,500"
318,594987,Casey,Sadler,Casey Sadler,SEA,31,0,1,0.67,40.1,19,3,1,10,37,0.72,"$591,800"
319,519242,Chris,Sale,Chris Sale,BOS,32,5,1,3.16,42.2,45,15,6,12,52,1.34,"$30,000,000"
320,592716,Adrian,Sampson,Adrian Sampson,CHC,30,1,2,2.8,35.1,30,11,8,8,28,1.08,"$570,500"
321,663776,Patrick,Sandoval,Patrick Sandoval,LAA,25,3,6,3.62,87.0,69,35,11,36,94,1.21,"$570,500"
322,642701,Dennis,Santana,Dennis Santana,LAD,25,0,0,6.0,15.0,18,10,0,11,8,1.93,"$575,000"
323,650828,Edgar,Santana,Edgar Santana,ATL,30,3,0,3.59,42.2,37,17,7,12,33,1.15,"$570,500"
324,429722,Ervin,Santana,Ervin Santana,KC,38,2,2,4.68,65.1,65,34,9,22,52,1.33,"$1,500,000"
325,502327,Hector,Santiago,Hector Santiago,SEA,33,1,1,3.42,26.1,27,10,2,11,30,1.44,"$570,500"
326,663574,Tony,Santillan,Tony Santillan,CIN,24,1,3,2.91,43.1,34,14,7,21,56,1.27,"$570,500"
327,617228,Hirokazu,Sawamura,Hirokazu Sawamura,BOS,33,5,1,3.06,53.0,45,18,9,32,61,1.45,"$1,600,000"
328,453286,Max,Scherzer,Max Scherzer,LAD,37,7,0,1.98,68.1,48,15,5,8,89,0.82,"$34,603,480"
329,656945,Tanner,Scott,Tanner Scott,BAL,27,5,4,5.17,54.0,48,31,6,37,70,1.57,"$580,000"
330,622608,Antonio,Senzatela,Antonio Senzatela,COL,26,4,10,4.42,156.2,178,77,12,32,105,1.34,"$3,000,000"
331,623149,Paul,Sewald,Paul Sewald,SEA,31,10,3,3.06,64.2,42,22,10,24,104,1.02,"$570,500"
332,543766,Bryan,Shaw,Bryan Shaw,CLE,33,6,7,3.49,77.1,69,30,10,38,71,1.38,"$2,450,000"
333,642073,Jimmie,Sherfy,Jimmie Sherfy,SF,29,1,0,4.22,10.2,9,5,2,4,9,1.22,"$570,500"
334,592741,Chasen,Shreve,Chasen Shreve,PIT,31,3,3,3.2,56.1,43,20,7,28,45,1.26,"$1,500,000"
335,663903,Brady,Singer,Brady Singer,KC,25,5,10,4.91,128.1,146,70,14,53,131,1.55,"$593,700"
336,669373,Tarik,Skubal,Tarik Skubal,DET,24,8,12,4.34,149.1,141,72,35,47,164,1.26,"$574,300"
337,592761,Caleb,Smith,Caleb Smith,ARI,30,4,9,4.83,113.2,93,61,20,63,124,1.37,"$1,386,240"
338,501925,Joe,Smith,Joe Smith,SEA,37,3,3,2.0,18.0,12,4,1,4,17,0.89,"$4,000,000"
339,519293,Will,Smith,Will Smith,ATL,32,3,7,3.44,68.0,49,26,11,28,87,1.13,"$13,000,000"
340,592767,Drew,Smyly,Drew Smyly,ATL,32,11,4,4.48,126.2,133,63,27,41,117,1.37,"$11,000,000"
341,605483,Blake,Snell,Blake Snell,SD,28,7,6,4.2,128.2,101,60,16,69,170,1.32,"$11,100,000"
342,465657,Joakim,Soria,Joakim Soria,ARI,37,1,4,4.3,29.1,31,14,4,8,31,1.33,"$3,500,000"
343,642397,Gregory,Soto,Gregory Soto,DET,26,6,3,3.39,63.2,46,24,7,40,76,1.35,"$579,600"
344,605488,Jeffrey,Springs,Jeffrey Springs,TB,29,5,1,3.43,44.2,35,17,9,14,63,1.1,"$585,000"
345,489334,Craig,Stammen,Craig Stammen,SD,37,6,3,3.06,88.1,79,30,13,13,83,1.04,"$4,500,000"
346,592773,Ryne,Stanek,Ryne Stanek,HOU,30,3,5,3.42,68.1,46,26,8,37,83,1.21,"$1,100,000"
347,622251,Josh,Staumont,Josh Staumont,KC,27,4,3,2.88,65.2,43,21,6,27,72,1.07,"$588,700"
348,608716,Drew,Steckenrider,Drew Steckenrider,SEA,30,5,2,2.0,67.2,52,15,5,17,58,1.02,"$800,000"
349,596112,Robert,Stephenson,Robert Stephenson,COL,28,2,1,3.13,46.0,42,16,5,18,52,1.3,"$805,000"
350,640464,Kohl,Stewart,Kohl Stewart,CHC,27,1,1,5.27,13.2,17,8,2,6,11,1.68,"$700,000"
351,544931,Stephen,Strasburg,Stephen Strasburg,WAS,33,1,2,4.57,21.2,16,11,4,14,21,1.38,"$35,000,000"
352,608717,Chris,Stratton,Chris Stratton,PIT,31,7,1,3.63,79.1,70,32,9,33,86,1.3,"$1,100,000"
353,519326,Hunter,Strickland,Hunter Strickland,TB,33,0,0,1.69,16.0,14,3,1,6,16,1.25,"$1,000,000"
354,548389,Ross,Stripling,Ross Stripling,TOR,31,5,7,4.8,101.1,99,54,23,30,94,1.27,"$3,000,000"
355,573186,Marcus,Stroman,Marcus Stroman,NYM,30,10,13,3.02,179.0,161,60,17,44,158,1.15,"$18,900,000"
356,660761,Jose,Suarez,Jose Suarez,LAA,23,8,8,3.75,98.1,85,41,11,36,85,1.23,"$570,500"
357,624133,Ranger,Suarez,Ranger Suarez,PHI,26,8,5,1.36,106.0,73,16,4,33,107,1.0,"$570,500"
358,642121,Cole,Sulser,Cole Sulser,BAL,31,5,4,2.7,63.1,48,19,5,23,73,1.12,"$574,500"
359,608718,Brent,Suter,Brent Suter,MIL,32,12,5,3.07,73.1,72,25,9,24,69,1.31,"$1,550,000"
360,657024,Erik,Swanson,Erik Swanson,SEA,28,0,3,3.31,35.1,28,13,5,10,35,1.08,"$570,500"
361,592791,Jameson,Taillon,Jameson Taillon,NYY,29,8,6,4.3,144.1,130,69,24,44,140,1.21,"$2,250,000"
362,622253,Dillon,Tate,Dillon Tate,BAL,27,0,6,4.39,67.2,61,33,7,23,49,1.24,"$574,500"
363,657031,Josh,Taylor,Josh Taylor,BOS,28,1,0,3.4,47.2,45,18,2,23,60,1.43,"$580,500"
364,572193,Ryan,Tepera,Ryan Tepera,CWS,33,0,0,2.5,18.0,13,5,1,7,24,1.11,"$1,750,000"
365,573204,Caleb,Thielbar,Caleb Thielbar,MIN,34,7,0,3.23,64.0,55,23,8,20,77,1.17,"$700,000"
366,657044,Ryan,Thompson,Ryan Thompson,TB,29,3,2,2.38,34.0,26,9,3,9,37,1.03,"$577,200"
367,626929,Lewis,Thorpe,Lewis Thorpe,MIN,25,0,2,4.7,15.1,14,8,2,7,6,1.37,"$570,500"
368,458708,Josh,Tomlin,Josh Tomlin,ATL,37,4,0,6.57,49.1,69,36,10,5,37,1.5,"$1,000,000"
369,595014,Blake,Treinen,Blake Treinen,LAD,33,6,5,1.99,72.1,46,16,5,25,85,0.98,"$8,000,000"
370,642152,Lou,Trivino,Lou Trivino,OAK,30,7,8,3.18,73.2,58,26,5,34,67,1.25,"$912,500"
371,605513,Spencer,Turnbull,Spencer Turnbull,DET,29,4,2,2.88,50.0,37,16,2,12,44,0.98,"$586,900"
372,570632,Jose,Urena,Jose Urena,DET,30,4,8,5.81,100.2,119,65,14,42,67,1.6,"$3,450,000"
373,628711,Julio,Urias,Julio Urias,LAD,25,20,3,2.96,185.2,151,61,19,38,195,1.02,"$3,600,000"
374,664353,Jose,Urquidy,Jose Urquidy,HOU,26,8,3,3.62,107.0,87,43,17,19,90,0.99,"$604,200"
375,664285,Framber,Valdez,Framber Valdez,HOU,27,11,6,3.14,134.2,110,47,12,58,125,1.25,"$637,300"
376,570488,Phillips,Valdez,Phillips Valdez,BOS,29,2,0,5.85,40.0,35,26,4,19,35,1.35,"$578,500"
377,543883,Nick,Vincent,Nick Vincent,MIN,35,1,0,0.71,12.2,6,1,1,5,9,0.87,"$570,500"
378,608723,Austin,Voth,Austin Voth,WAS,29,4,1,5.34,57.1,57,34,10,28,59,1.48,"$587,700"
379,608379,Michael,Wacha,Michael Wacha,TB,30,3,5,5.05,124.2,132,70,23,31,121,1.31,"$3,000,000"
380,425794,Adam,Wainwright,Adam Wainwright,STL,40,17,7,3.05,206.1,168,70,21,50,174,1.06,"$8,000,000"
381,592836,Taijuan,Walker,Taijuan Walker,NYM,29,7,11,4.47,159.0,133,79,26,55,146,1.18,"$10,000,000"
382,453265,Tony,Watson,Tony Watson,SF,36,4,1,2.96,24.1,15,8,1,4,19,0.78,"$1,000,000"
383,596133,Luke,Weaver,Luke Weaver,ARI,28,3,6,4.25,65.2,58,31,11,20,62,1.19,"$1,950,000"
384,657097,Jacob,Webb,Jacob Webb,ATL,28,5,4,4.19,34.1,38,16,4,14,33,1.51,"$570,500"
385,657277,Logan,Webb,Logan Webb,SF,24,11,3,3.03,148.1,128,50,9,36,158,1.11,"$583,000"
386,605525,J.B.,Wendelken,J.B. Wendelken,ARI,28,2,2,4.34,18.2,15,9,2,9,13,1.29,"$580,500"
387,554430,Zack,Wheeler,Zack Wheeler,PHI,31,14,10,2.78,213.1,169,66,16,46,247,1.01,"$22,500,000"
388,676477,Garrett,Whitlock,Garrett Whitlock,BOS,25,8,4,1.96,73.1,64,16,6,17,81,1.1,"$570,500"
389,592858,Rowan,Wick,Rowan Wick,CHC,28,0,1,4.3,23.0,17,11,1,14,29,1.35,"$593,000"
390,642203,Taylor,Widener,Taylor Widener,ARI,26,2,1,4.35,70.1,65,34,14,37,73,1.45,"$583,400"
391,623364,Brad,Wieck,Brad Wieck,CHC,30,0,0,0.0,17.0,10,0,0,10,28,1.18,"$570,500"
392,642207,Devin,Williams,Devin Williams,MIL,27,8,2,2.5,54.0,36,15,5,28,87,1.19,"$681,100"
393,592866,Trevor,Williams,Trevor Williams,NYM,29,0,0,3.06,32.1,37,11,1,9,29,1.42,"$2,850,000"
394,669060,Bryse,Wilson,Bryse Wilson,ATL,23,2,3,5.88,33.2,45,22,7,12,23,1.69,"$570,500"
395,458677,Justin,Wilson,Justin Wilson,CIN,34,0,0,2.81,16.0,14,5,1,7,14,1.31,"$2,850,000"
396,605538,Matt,Wisler,Matt Wisler,SF,29,1,2,6.05,19.1,19,13,4,6,26,1.29,"$1,200,000"
397,621295,Nick,Wittgren,Nick Wittgren,CLE,30,2,9,5.05,62.1,61,35,13,17,61,1.25,"$2,000,000"
398,622072,Alex,Wood,Alex Wood,SF,30,10,4,3.83,138.2,125,59,14,39,152,1.18,"$5,000,000"
399,605540,Brandon,Woodruff,Brandon Woodruff,MIL,28,9,10,2.56,179.1,130,51,18,43,211,0.96,"$3,275,000"
400,642232,Ryan,Yarbrough,Ryan Yarbrough,TB,29,9,7,5.11,155.0,163,88,25,27,117,1.23,"$2,300,000"
401,660623,Huascar,Ynoa,Huascar Ynoa,ATL,23,4,6,4.05,91.0,76,41,14,25,100,1.11,"$580,500"
402,669145,Bruce,Zimmermann,Bruce Zimmermann,BAL,26,4,5,5.04,64.1,75,36,14,22,56,1.51,"$571,500"
403,622092,Kyle,Zimmer,Kyle Zimmer,KC,30,4,1,4.83,54.0,46,29,7,30,46,1.41,"$588,700"
404,661563,Luis,Gil,Luis Gil,NYY,23,1,1,3.07,29.1,20,10,4,19,38,1.33,"$570,500"
405,605507,Zach,Thompson,Zach Thompson,MIA,27,3,7,3.24,75.0,63,27,6,28,66,1.21,"$570,500"
406,502179,Paolo,Espino,Paolo Espino,WAS,34,5,5,4.27,109.2,108,52,19,25,92,1.21,"$570,500"
407,607359,Spencer,Patton,Spencer Patton,TEX,33,2,2,3.83,42.1,36,18,4,15,48,1.2,"$570,500"
408,669622,Anthony,Bender,Anthony Bender,MIA,26,3,2,2.79,61.1,45,19,5,20,71,1.06,"$570,500"
409,640448,Kyle,Finnegan,Kyle Finnegan,WAS,30,5,9,3.55,66.0,64,26,9,34,68,1.48,"$582,400"
